PreferredSponsors,Gender,Country,Degree,Sign Up Date,city,zip,isFromSocialMedia,Excelerate,GlobalShala,Grant Thornton China,Illinois Institute of Technology,Saint Louis University
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-06-22,HYDERABAD,500060,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-06-22,Tiruchirappalli,620015,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-07-10,banglore,560070,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Undergraduate Student,2023-08-04,kaduna north,110001,0,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,Graduate Program Student,2022-11-09,Pune,411027,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Ghana,Not in Education,2023-07-12,Tamale,0,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,United States,Graduate Program Student,2023-04-02,Chicago,60616,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Ghana,Not in Education,2023-08-22,Kumasi,233,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-09-19,THANE,400601,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Not in Education,2023-03-16,Lagos,101283,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-05-27,Hyderabad,500058,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-03-17,Pune,411015,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Egypt,Undergraduate Student,2023-06-10,Giza,61252,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Not in Education,2023-07-23,FCT,23409,1,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,United States,High School Student,2022-11-06,Missouri City,77459,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-08-15,Fairfax,22030,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Egypt,Undergraduate Student,2023-06-12,Giza,0,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-05-30,Karur,639002,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-07-06,Thane,401107,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-08-26,New Delhi,110045,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,Graduate Program Student,2023-08-06,Lahore,54000,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-06-16,Hyderabad,500060,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Graduate Program Student,2023-06-15,Madobi,13464,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,United States,Not in Education,2023-08-24,Oradell,7649,0,1,1,1,1,1
"['Excelerate', 'Saint Louis University']",1.0,Nigeria,Undergraduate Student,2023-03-29,LAGOS,100242,1,1,0,0,0,1
"['Saint Louis University', 'GlobalShala']",1.0,Nigeria,Graduate Program Student,2023-05-04,Mushin,100263,0,0,1,0,0,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,India,Undergraduate Student,2022-08-30,Suryapet,508206,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Undergraduate Student,2023-03-17,Chicago,60616,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Undergraduate Student,2023-07-05,Suleja,910101,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Undergraduate Student,2023-06-15,Calabar,200252,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,"Korea, Republic of South Korea",Undergraduate Student,2023-10-06,Donggu,34607,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,India,Undergraduate Student,2022-09-13,Udupi,576233,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-08-20,Chicago,60616,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-06-30,Kadapa,516360,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-06-14,Mirzapur,231304,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-08-31,Rajanna Siricilla,505307,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,High School Student,2023-05-20,New Delhi,110060,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,United States,Graduate Program Student,2023-07-30,Saint Louis,63108,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-07-02,Karur,639136,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Kenya,Undergraduate Student,2023-04-01,Nairobi,100,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Graduate Program Student,2023-03-04,Warri,300102,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Not in Education,2023-06-16,LAGOS,100278,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-06-14,Nagpur,440037,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-06-16,Bangalore,560037,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Ghana,Undergraduate Student,2023-07-08,Tamale,233,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Not in Education,2023-07-11,Minna,920221,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-06-22,Yachavaram,523333,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-06-14,Bengaluru,560083,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-09-08,Saint Louis,63108,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Undergraduate Student,2023-07-23,Kosofe,105001,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-07-11,Warangal,506330,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Not in Education,2023-06-25,Ibadan,200283,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,Libyan Arab Jamahiriya,Undergraduate Student,2022-08-21,Benghazi,55555,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-10-08,Karur,639006,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-06-16,Ramgarh,829133,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,High School Student,2023-10-04,Indore,452001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-09-13,Chidambaram,608002,0,1,1,1,1,1
"['Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'GlobalShala', 'Excelerate']",0.0,Pakistan,Graduate Program Student,2023-05-19,Hyderabad,71000,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Undergraduate Student,2023-08-16,Annandale,22003,0,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",,United States,High School Student,2022-09-28,San Jose,89044,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-05-02,karwar,581301,1,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,United States,Graduate Program Student,2022-09-01,chicago,60616,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,United States,Graduate Program Student,2023-08-23,StLouis,63108,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Graduate Program Student,2023-07-26,Ado,900101,0,1,1,1,1,1
"['Illinois Institute of Technology', 'Excelerate']",0.0,United States,High School Student,2023-08-31,Sauk Village,60411,0,1,0,0,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-07-09,Hyderabad,500027,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Undergraduate Student,2023-03-26,Milpitas,95035,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-06-16,Tirunelveli,627007,0,1,1,1,1,1
['Illinois Institute of Technology'],0.0,India,Undergraduate Student,2023-06-10,Hyderabad,500045,0,0,0,0,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-07-01,Patna,800014,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Kenya,Undergraduate Student,2023-06-15,Eldoret,4483,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-06-28,Vijayawada,521225,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-05-06,Virar East,301305,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-05-05,Kolkata,700078,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-08-30,Saint Louis,63108,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Egypt,Undergraduate Student,2023-05-23,Giza,3210001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-06-16,Anantapur,515001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Graduate Program Student,2023-07-09,Lagos,100001,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Ghana,Not in Education,2023-07-09,Tamale,NS127,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-08-11,Greater Noida,201310,0,1,1,1,1,1
"['GlobalShala', 'Saint Louis University', 'Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,Undergraduate Student,2023-01-06,Bengaluru,560069,0,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,High School Student,2022-11-19,Burhanpur,450331,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-05-09,Nagpur,440001,1,1,1,1,1,1
"['Illinois Institute of Technology', 'GlobalShala', 'Grant Thornton China', 'Excelerate']",0.0,United States,Graduate Program Student,2022-12-07,Chicago,60616,0,1,1,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-06-12,Malegaon,423206,1,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,Ghana,Not in Education,2022-10-27,Accra,233,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Afghanistan,Undergraduate Student,2023-01-05,Amritsar,123242,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-04-01,Hyderabad,501510,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-08-04,kolkata,700003,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-02-28,Mumbai,400033,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Undergraduate Student,2023-06-15,Katagum,751101,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-05-29,Chennai,600015,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,United States,High School Student,2023-06-11,Hoffman Estates,60120,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-07-08,Durgapur,713209,0,1,1,1,1,1
"['GlobalShala', 'Saint Louis University', 'Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,Graduate Program Student,2023-01-14,Chittoor,517001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Benin,Graduate Program Student,2023-07-08,Cotonou,30,1,1,1,1,1,1
"['Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,Japan,Graduate Program Student,2023-02-15,Kobe,655-0041,0,1,0,1,0,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,Nigeria,Not in Education,2022-09-05,LAGOS,106101,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-06-29,Hyderabad,500010,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-06-14,Mathura,281205,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-06-16,PADUBIDRI,574113,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-10-27,Karwar,581324,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-09-25,Faridabad,121001,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-03-25,Hyderabad,500077,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Not in Education,2023-07-27,Lagos,105101,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Egypt,Undergraduate Student,2023-07-23,Tanta,0,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,High School Student,2023-06-16,Ughelli,333102,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,India,Undergraduate Student,2022-11-03,CHENNAI,600095,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-03-05,Kolkata,700034,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,High School Student,2023-05-20,New Delhi,110029,1,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,United States,High School Student,2022-09-21,Charlotte,28214,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Graduate Program Student,2023-08-09,Satellite,23401,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Graduate Program Student,2023-06-16,Ilorin,240101,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-10-03,St Louis,63108,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-08-24,Hyderabad,500039,1,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,Undergraduate Student,2022-10-06,hyderabad,500008,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Not in Education,2023-08-29,Abuja,900211,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,Undergraduate Student,2023-04-01,Kumb,20166,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-06-14,Umred,441203,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-05-01,Noida,201310,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,High School Student,2023-06-14,Faisalabad,Faisalabad,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-05-17,Jalandhar,144022,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Illinois Institute of Technology', 'Excelerate', 'Saint Louis University']",1.0,Ghana,Graduate Program Student,2023-06-14,Accra,0,0,1,1,1,1,1
"['Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,India,Not in Education,2023-02-22,Piler,517214,0,1,0,1,0,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-05-27,Delhi,110063,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,High School Student,2023-06-16,Kabeerwala,8750,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,Undergraduate Student,2023-06-15,Hyderabad,71000,1,1,1,1,1,1
"['Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,India,Undergraduate Student,2022-11-21,Chennai,695564,0,1,0,1,0,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Pakistan,Undergraduate Student,2023-03-26,Karachi,71550,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Kenya,Graduate Program Student,2023-09-22,Nyahururu,20300,1,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,Graduate Program Student,2022-10-31,WARANGAL,506002,0,1,0,1,1,0
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,India,High School Student,2022-11-23,Pune,411060,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Egypt,Graduate Program Student,2023-07-07,Nasr City,11765,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-07-23,Mancherial,504208,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-07-06,Coimbatore,641401,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Not in Education,2023-06-15,PortHarcourt,569101,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Excelerate']",1.0,Nigeria,Graduate Program Student,2023-06-20,Lagos state,no code,1,1,1,1,0,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,United States,High School Student,2022-09-21,Casper,82609,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-04-08,Mehsana,384205,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Not in Education,2023-08-14,Abuja,900110,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-07-30,NAGERCOIL,629501,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Undergraduate Student,2023-08-06,Westlake Village,91362,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-03-21,Hhbjinjj,4213,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,High School Student,2023-03-25,mumbai,400093,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Kenya,Graduate Program Student,2023-06-30,Nairobi,254-00100,1,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",1.0,United States,High School Student,2023-02-23,Leander,78641,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-10-10,Yamunanagar,135001,1,1,1,1,1,1
['Saint Louis University'],1.0,United States,Graduate Program Student,2023-08-10,saint louis,63146,0,0,0,0,0,1
